SampleID	Treatment	Treatment_no	Time	Species	Abundance	Count
CC01A	Control	1	0	Lactobacillus	0.063575168	1430
CC01B	Control	1	1	Lactobacillus	0.030629951	379
CC01C	Control	1	2	Lactobacillus	0.026107956	386
CC01D	Control	1	3	Lactobacillus	0.058233122	1193
CC02A	Control	1	0	Lactobacillus	0.092632877	2455
CC02B	Control	1	1	Lactobacillus	0.01571045	296
CC02C	Control	1	2	Lactobacillus	0.015759431	337
CC02D	Control	1	3	Lactobacillus	0.036802271	750
CC03A	Control	1	0	Lactobacillus	0.025690656	280
CC03B	Control	1	1	Lactobacillus	0.08576857	906
CC03C	Control	1	2	Lactobacillus	0.036543909	377
CC03D	Control	1	3	Lactobacillus	0.080859577	1214
CC04A	Control	1	0	Lactobacillus	0.100211668	1446
CC04B	Control	1	1	Lactobacillus	0.03849368	703
CC04C	Control	1	2	Lactobacillus	0.025406575	357
CC04D	Control	1	3	Lactobacillus	0.111262048	1656
CC05A	Control	1	0	Lactobacillus	0.080956243	2282
CC05B	Control	1	1	Lactobacillus	0.048621864	438
CC05C	Control	1	2	Lactobacillus	0.03149781	454
CC05D	Control	1	3	Lactobacillus	0.051181488	1533
CC06C	Control	1	2	Lactobacillus	0.007202453	166
CC06D	Control	1	3	Lactobacillus	0.008012296	231
CC07A	Control	1	0	Lactobacillus	0.065472961	719
CC07B	Control	1	1	Lactobacillus	0.120444101	2584
CC07C	Control	1	2	Lactobacillus	0.189637418	3385
CC07D	Control	1	3	Lactobacillus	0.081890936	836
CC08A	Control	1	0	Lactobacillus	0.016706444	125
CC08B	Control	1	1	Lactobacillus	0.060039575	1106
CC08C	Control	1	2	Lactobacillus	0.010996119	144
CC08D	Control	1	3	Lactobacillus	0.028552827	299
CC09A	Control	1	0	Lactobacillus	0.192535236	4317
CC09B	Control	1	1	Lactobacillus	0.043910677	1116
CC09C	Control	1	2	Lactobacillus	0.09867444	1750
CC09D	Control	1	3	Lactobacillus	0.015492958	181
CC10A	Control	1	0	Lactobacillus	0.083906369	1183
CC11A	Control	1	0	Lactobacillus	0.081996308	1133
CC11B	Control	1	1	Lactobacillus	0.019335347	432
CC11C	Control	1	2	Lactobacillus	0.039429454	402
CC11D	Control	1	3	Lactobacillus	0.058820949	1290
CC12A	Control	1	0	Lactobacillus	0.003025015	22
CC12B	Control	1	1	Lactobacillus	0.04090281	377
CC12C	Control	1	2	Lactobacillus	0.064392437	467
CC12D	Control	1	3	Lactobacillus	0.019522435	359
CC13A	Treatment	2	0	Lactobacillus	0.010425101	96
CC13B	Treatment	2	1	Lactobacillus	0.004384896	30
CC13C	Treatment	2	2	Lactobacillus	0.007180787	118
CC13D	Treatment	2	3	Lactobacillus	0.003884455	49
CC14A	Treatment	2	0	Lactobacillus	0.022313784	393
CC14B	Treatment	2	1	Lactobacillus	0.001926782	44
CC14C	Treatment	2	2	Lactobacillus	0.007161925	104
CC14D	Treatment	2	3	Lactobacillus	0.003794643	92
CC15A	Treatment	2	0	Lactobacillus	0.02493471	400
CC15B	Treatment	2	1	Lactobacillus	0.006447221	142
CC15C	Treatment	2	2	Lactobacillus	0.01223154	285
CC15D	Treatment	2	3	Lactobacillus	0.01001292	203
CC16A	Treatment	2	0	Lactobacillus	0.012618169	287
CC16B	Treatment	2	1	Lactobacillus	0.034694207	722
CC16C	Treatment	2	2	Lactobacillus	0.004053805	22
CC16D	Treatment	2	3	Lactobacillus	0.007576783	152
CC17A	Treatment	2	0	Lactobacillus	0.008136449	175
CC17B	Treatment	2	1	Lactobacillus	0.009265827	188
CC17C	Treatment	2	2	Lactobacillus	0.008957134	166
CC17D	Treatment	2	3	Lactobacillus	0.006318681	65
CC18A	Treatment	2	0	Lactobacillus	0.126390707	1531
CC18C	Treatment	2	2	Lactobacillus	0.012114876	189
CC18D	Treatment	2	3	Lactobacillus	0.006033616	79
CC19A	Treatment	2	0	Lactobacillus	0.085239085	1852
CC19B	Treatment	2	1	Lactobacillus	0.003013129	38
CC19C	Treatment	2	2	Lactobacillus	0.004185047	33
CC19D	Treatment	2	3	Lactobacillus	0.00420579	83
CC20A	Treatment	2	0	Lactobacillus	0.077988973	1062
CC20B	Treatment	2	1	Lactobacillus	0.020020881	303
CC20C	Treatment	2	2	Lactobacillus	0.003221188	89
CC20D	Treatment	2	3	Lactobacillus	0.014735251	262
CC21A	Treatment	2	0	Lactobacillus	0.003974347	38
CC21B	Treatment	2	1	Lactobacillus	0.019086892	276
CC21C	Treatment	2	2	Lactobacillus	0.036512976	507
CC21D	Treatment	2	3	Lactobacillus	0.015636788	217
CC22A	Treatment	2	0	Lactobacillus	0.206321962	2612
CC22B	Treatment	2	1	Lactobacillus	0.007208533	95
CC22C	Treatment	2	2	Lactobacillus	0.025784106	130
CC22D	Treatment	2	3	Lactobacillus	0.013083172	171
CC23A	Treatment	2	0	Lactobacillus	0.027473958	201
CC23B	Treatment	2	1	Lactobacillus	0.019655399	368
CC23C	Treatment	2	2	Lactobacillus	0.003580196	31
CC23D	Treatment	2	3	Lactobacillus	0.016009737	331
CC24A	Treatment	2	0	Lactobacillus	0.044609288	435
CC24B	Treatment	2	1	Lactobacillus	0.007296028	108
CC24D	Treatment	2	3	Lactobacillus	0.0030004	41
CC01A	Control	1	0	Parabacteroides	0.005895552	128
